,0
185,-3.1632802
186,-3.1681337
187,-3.115094
188,-3.0384028
189,-2.9558113
190,-2.8772457
191,-2.805876
192,-2.740223
193,-2.6753192
194,-2.6020792
195,-2.5035095
196,-2.3424046
197,-2.0085366
198,-1.8873838
199,-1.954713
200,-0.9018961
201,-1.0905197
202,-1.2000445
203,-1.2911602
204,-1.3982909
205,-1.5229295
206,-2.0349422
207,-2.319794
208,-2.6575277
209,-3.0354195
210,-3.1773722
211,-3.1793902
212,-3.13365
213,-3.07066
214,-3.0032365
215,-2.938181
216,-2.8773735
217,-2.8190684
218,-2.7584023
219,-2.6863437
220,-2.5854688
221,-2.4165235
222,-2.0600169
223,-1.9289652
224,-2.0001054
225,-0.95916736
226,-1.0970414
227,-1.1814576
228,-1.2682964
229,-1.3831966
230,-1.5207494
231,-2.031278
232,-2.3230186
233,-2.6549675
234,-3.0313025
235,-3.1776795
236,-3.187673
237,-3.156228
238,-3.1106918
239,-3.0599554
240,-3.0084598
241,-2.9573128
242,-2.9048817
243,-2.8466852
244,-2.773914
245,-2.6687763
246,-2.4900005
247,-2.1094892
248,-1.9678519
249,-2.0424287
250,-1.0006368
251,-1.103058
252,-1.1667312
253,-1.2445511
254,-1.3543178
255,-1.500701
256,-1.9985026
257,-2.2934055
258,-2.6250026
259,-2.9993703
260,-3.1531627
261,-3.1735919
262,-3.1551087
263,-3.1236374
264,-3.0858552
265,-3.044677
266,-3.000653
267,-2.952222
268,-2.8951986
269,-2.8209753
270,-2.7115386
271,-2.5243223
272,-2.1266353
273,-1.977641
274,-2.0541723
275,-1.0159873
276,-1.10797
277,-1.1640704
278,-1.2329679
279,-1.3504976
280,-1.5673174
281,-1.9793769
282,-2.268964
283,-2.5957043
284,-2.9596355
285,-3.11683
286,-3.1452456
287,-3.1357262
288,-3.113838
289,-3.0854142
290,-3.0525162
291,-3.0151844
292,-2.971667
293,-2.9177759
294,-2.8449237
295,-2.7349265
296,-2.544449
297,-2.1382167
298,-1.9847254
299,-2.0626085
300,-1.0045975
301,-1.0993565
302,-1.1540514
303,-1.2593925
304,-1.3763083
305,-1.6337337
306,-1.98113
307,-2.269944
308,-2.593026
309,-2.943424
310,-3.1014993
311,-3.136216
312,-3.133136
313,-3.1176198
314,-3.0953093
315,-3.0679061
316,-3.035166
317,-2.9951477
318,-2.9435465
319,-2.8716638
320,-2.7610416
321,-2.567466
322,-2.1524155
323,-1.9931308
324,-2.0717077
325,-0.98207116
326,-1.0810088
327,-1.1651472
328,-1.2807544
329,-1.4311817
330,-1.6663855
331,-1.9888905
332,-2.2867951
333,-2.6152005
334,-2.9593859
335,-3.118916
336,-3.1565878
337,-3.1551945
338,-3.140844
339,-3.1193652
340,-3.0923097
341,-3.0593421
342,-3.018504
343,-2.9654987
344,-2.8916037
345,-2.7782128
346,-2.580535
347,-2.1577427
348,-1.9924122
349,-2.0705016
350,-0.95626795
351,-1.0588206
352,-1.1704696
353,-1.2791834
354,-1.442824
355,-1.6773587
356,-1.9937538
357,-2.3066642
358,-2.646886
359,-2.9915426
360,-3.154
361,-3.1927102
362,-3.189945
363,-3.1733897
364,-3.1493273
365,-3.1192439
366,-3.0827897
367,-3.0380983
368,-2.9809868
369,-2.902809
370,-2.7849362
371,-2.5823023
372,-2.1529086
373,-1.9819821
374,-2.058799
375,-0.91342425
376,-1.0294021
377,-1.152604
378,-1.2800609
379,-1.4568288
380,-1.6981655
381,-2.0149193
382,-2.3392162
383,-2.6865232
384,-3.0287836
385,-3.1941926
386,-3.23436
